"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
4064, 7.199695859440618e-01, 4.490137873825233e-01, 2.087586788777157e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.323123592105500e+00
4099, 6.167226444129416e-01, 4.861849692053939e-01, 2.086185574590644e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.320014504333763e+00
4125, 9.999383162360695e-01, -7.853658958961418e-03, 2.091914051944055e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332423827703236e+00
4128, 9.896112794633448e-01, -1.013942553711323e-01, 2.091705430961359e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331982488675247e+00
4131, 9.861846402695220e-01, -1.167240145214142e-01, 2.091639235879192e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331842488878084e+00
4145, 8.123781664826624e-01, -3.904098885849718e-01, 2.088975793305650e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326162257407672e+00
4162, 5.811716563721880e-02, -2.339648706441098e-01, 2.108391977047754e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.368715402666822e+00
4164, 7.610531396253641e-01, -4.264402165506206e-01, 2.088198616414554e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.324469020662817e+00
4213, 9.619397681480500e-01, 1.913417116138706e-01, 2.091206030241807e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.330926025716098e+00
4216, 9.994449375252970e-01, 2.355322441518714e-02, 2.091903803858073e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332402077283110e+00
4230, 9.822779587396269e-01, -1.319392682787755e-01, 2.091565408362264e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331686372076997e+00
4254, 9.089766148705223e-01, -2.876423621253457e-01, 2.090388785656939e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.329195121017204e+00
4258, 7.742975260245430e-01, -4.180440972156110e-01, 2.088399948378894e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.324909234679476e+00
4261, 6.912493802776827e-01, -4.619780022288966e-01, 2.087158211618686e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.322178615207852e+00
4276, 8.247240258811626e-01, 3.802029813343524e-01, 2.089167124015978e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.326575214296446e+00
4283, 8.479563788965800e-01, 3.590631676810913e-01, 2.089506810492766e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.327308214149252e+00
4302, 9.896114059311865e-01, 1.013936446829230e-01, 2.091705506233021e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.331982317943661e+00
4313, 9.925546626765483e-01, 8.596455243640584e-02, 2.091763499139996e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332105036339337e+00
4319, 9.925546210574051e-01, -8.596479090299680e-02, 2.091763434232784e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.332105182365896e+00
